combination,pairs_count,score,best_weighting,mean_balance,median_balance,std_balance,mean_mdd,worst_mdd,mean_sharpe,mean_sortino,mean_calmar,mean_ulcer,mean_var95,mean_cvar95,mean_omega,mean_cagr,median_cagr,prob_profit,prob_2x,prob_ruin,p5,p50,p95,p99
TRXUSDT,1,-34.933603582946525,inverse_vol,3050.4896828026144,3070.514833225926,158.6485002319807,-0.6947387943788901,-0.7567859263994958,-118.14017296237938,-169.30197686549252,-1.4401303184145144,0.46010089790634073,-0.0025855286249848834,-0.003069458193947798,0.10277430593771339,-0.9999999955233604,-0.9999999962659776,0.0,0.0,1.0,2740.474764715666,3070.514833225926,3282.5163217009704,3347.910097644696
BTCUSDT,1,-18.721432320663077,inverse_vol,6072.893137036407,6123.729106942228,402.89510462673593,-0.39515427858364505,-0.5402757050522551,-37.59978621122947,-89.84905157776714,-2.5556676846312767,0.24353684079678065,-0.002507086779440727,-0.003522080562741676,0.49118113322999857,-0.9998364109760637,-0.999895856718164,0.0,0.0,0.012,5355.375627379028,6123.729106942228,6667.666767839549,6935.920724592032
AVAXUSDT,1,-34.03572201618077,risk_parity,1800.6795137121005,1797.2878635214133,178.43645883455844,-0.8203620448601644,-0.8630805672855352,-78.52119119875712,-163.88590686486214,-1.2195523088684532,0.5714467622080153,-0.003666853303459809,-0.00467186284858923,0.32915455580347425,-1.0,-1.0,0.0,0.0,1.0,1521.9755312717234,1797.2878635214133,2106.1320678553684,2257.5610945667636
ARBUSDT,1,-77.74974420348045,inverse_vol,0.07302869509311867,0.07323890523049227,0.012681436542953315,-0.9999926909489125,-0.999996703466563,-305.94384321478196,-368.45924943397847,-1.00000730910612,0.9345371766259291,-0.002692964436131189,-0.003486853747615708,0.10309288806254406,-1.0,-1.0,0.0,0.0,1.0,0.051689896464030466,0.07323890523049227,0.09400626112442967,0.10253374937269472
LTCUSDT,1,-49.853566762474856,inverse_vol,74.71377537455452,74.82992345917866,9.923813693269697,-0.9925299588144388,-0.9959104540442132,-188.34194941403268,-237.9797077673477,-1.0075272685624255,0.8347086106339475,-0.0014493674492989945,-0.0020942184550350375,0.2060253079336725,-1.0,-1.0,0.0,0.0,1.0,57.466608190643626,74.82992345917866,89.96869041871001,95.11581121097196
DOGEUSDT,1,-20.22986634040981,risk_parity,3794.0904625833045,3792.685564100736,397.7589499680668,-0.6228069810229763,-0.738043977383735,-42.713222598110896,-96.58865618471431,-1.6121317380962168,0.40343436324101606,-0.003016589935239336,-0.004162600322424722,0.5678867503991357,-0.9999999603153479,-0.9999999940284722,0.0,0.0,0.998,3140.931349737691,3792.685564100736,4447.985365045849,4723.196355762994
TONUSDT,1,-143.4666110561704,equal,12.721198258863957,12.849424324325526,1.257398710717002,-0.9987247510691245,-0.9991086513147319,-668.0092752954552,-703.5671009248451,-1.001276893234449,0.8804876298836489,-0.004313280956411899,-0.0051073182307193035,0.005781290571167254,-1.0,-1.0,0.0,0.0,1.0,10.60918365755694,12.849424324325526,14.599114374050746,15.265366378685085
TRXUSDT + LTCUSDT,2,-41.94308735496511,risk_parity,4435.1393040974635,4459.558765396612,177.78976493909136,-0.5561900711504373,-0.6333004517562543,-157.46374872217416,-205.1501373488307,-1.799691342848032,0.35394743083952457,-0.0019580971248525742,-0.002405740243858312,0.09230922045734649,-0.9999999999553474,-0.9999999999668845,0.0,0.0,1.0,4031.5834406607664,4459.558765396612,4651.542080741826,4726.371921956632
AAVEUSDT,1,-76.34135022927032,equal,0.12196562496511482,0.12202590238769369,0.0243523532626047,-0.9999877943018155,-0.9999945259903144,-315.2989737205304,-362.04755744583065,-1.0000122058530978,0.9313989800642712,-0.0025924237702999297,-0.0035075965987990516,0.08214704322447659,-1.0,-1.0,0.0,0.0,1.0,0.08200166658639761,0.12202590238769369,0.1607118699304352,0.18131932024233896
TRXUSDT + ARBUSDT,2,-46.418465586823054,inverse_vol,3007.005126422801,3024.5745680155296,153.11376432307654,-0.699037563468912,-0.7613007061891456,-184.23697864205636,-226.66125565375702,-1.4312118378934533,0.4630509175861665,-0.0026260639851555167,-0.0031593920026241696,0.05643481772333195,-0.9999999999999996,-0.9999999999999997,0.0,0.0,1.0,2716.7277171147966,3024.5745680155296,3214.674133726369,3289.2819974601794
